OPENADMET_LOGAC50_cyp2j2,OPENADMET_LOGAC50_cyp3a4,OPENADMET_LOGAC50_cyp1a2,OPENADMET_LOGAC50_pxr,OPENADMET_LOGAC50_cyp2d6,OPENADMET_LOGAC50_cyp2c9,OPENADMET_LOGAC50_ahr
,5.900000000000001,5.6,,4.4,,
,,5.3,,,,
,6.75,,,,,
,5.4,,,,,
,,,,4.22,,
,5.95,5.9,,,5.05,
,5.35,4.85,,,5.0,
,6.16,,,,7.0,
,,,,,5.7,
,4.4,,,4.8,,
,5.8,6.1,,6.1,,
,,4.85,,,,
,5.52,5.16,,6.16,5.4,
,4.82,6.21,,4.99,,
,,6.7,,5.0,6.5,
,,4.9,,5.266666666666667,,
,,5.3,,6.3,,
,,,,6.3,,
,4.6,,,,,
,7.1,,,,,
,,,5.55,,,
,6.099999999999999,4.7,,4.5,5.6,
,,,,4.99,,
,4.845,,,,,
,,6.4,,,5.6,
,,6.77,,,,
,,5.4,,,,
,5.3,4.58,,4.57,5.35,
,4.5,,,5.3,,
,5.3,,,,,
,,4.8,,,,
,4.04,4.51,,4.85,4.32,
,5.0,,,,,
,5.05,4.8,,,5.3,
,,4.75,,,4.4,
,,,,4.77,,
,4.09,,,,,
,5.5,,,,,
,,,5.986666666666667,,,
,5.01,,,,,
,5.0,,,5.5,4.4,
,4.8,,,,,
,4.5,5.3,,,,
,,5.0,,4.7,5.65,
,4.32,,,,4.77,
,4.7700000000000005,4.4,,4.3,5.37,
,7.52,,,,,
,,,,,5.15,
,4.8,6.1,,,,
,4.38,,,,4.65,
,,,,5.1,6.1,
,4.8,5.45,,,5.7,
,,4.95,,4.85,5.1,
,,,5.695,,,
,5.5,6.0,,,4.4,
,4.6,,,,4.4,
,4.7,6.95,,4.65,5.45,
,,4.7,,,,
,4.9,5.4,,,4.9,
,,,,,5.32,
,,4.8,,5.3,,
,5.375,,,,,
,,,,4.75,4.5,
,,5.5,,,,
,5.48,,,,,
,4.79,,,,,
,,,,5.92,,
,5.75,5.45,,4.9,6.25,
,,,,,5.45,
,,,,5.98,,
,4.75,,,,,
,4.8,4.85,,,4.85,
,,5.07,,5.39,6.4,
