OPENADMET_LOGAC50_cyp2j2,OPENADMET_LOGAC50_cyp3a4,OPENADMET_LOGAC50_cyp1a2,OPENADMET_LOGAC50_pxr,OPENADMET_LOGAC50_cyp2d6,OPENADMET_LOGAC50_cyp2c9,OPENADMET_LOGAC50_ahr
,,4.82,,5.98,4.4,
,,,6.695,,,
,4.9,,,,4.609999999999999,
,5.66,,,5.44,,
,5.0,,,,,
,,4.7,,,4.9,
,,6.6,,,4.7,
,,7.1,,,,
,5.66,,,,,
,5.3,6.1,,5.4,,
,5.675,,,,5.62,
,4.95,,,,4.6,
,,,,5.7,,
,5.5,,,,4.9,
,,4.5,,5.1,5.8,
,,5.4,,,5.05,
,,,,,5.35,
,4.96,,,,,
,5.5,,,,4.8,
,5.599999999999999,4.6,,,8.1,
,,,,5.55,,
,,5.6,,,,
5.67,6.42875,4.5,,6.57,4.55,
,5.7,,,,5.1,
,4.62,,,,4.6,
,4.55,5.55,,5.1,5.05,
,,,,4.52,,
,5.599999999999999,,,,,
,4.716666666666666,,,7.319375,4.5,
,,5.7,,,5.55,
,5.3,5.25,,5.65,4.4,
,5.65,,,,5.1,
,4.18,,,,4.36,
,4.8,5.6,,,4.8,
,,,,,6.19,
,4.21,5.88,,4.22,4.49,
,,,,5.5,,
,6.26,,,,,
,4.65,4.85,,5.5,5.15,
,,4.5,,,,
,,6.72,,,,
,5.0,5.5,,,5.5,
,,,,,6.45,
,,,5.925,,,
,,5.7,,,,
,,,,4.7,,
,5.599999999999999,5.9,,6.4,5.9,
,,,,,,7.11
,4.6,,,,,
,4.8,5.3,,5.4,,
,,5.2,,,6.2,
,,,,,7.3,
,5.05,4.85,,,5.0,
,6.58,,,,,
,,5.3,,,6.0,
,5.400000000000001,,,5.5,,
,4.8,,,,,
,5.0,4.9,,6.0,,
,5.47,,,,,
,4.7,,,4.85,,
,6.3,,,,7.08,
,,6.0,,,,
,4.6,5.7,,5.2,,
,5.400000000000001,8.5,,,5.5,
,5.0,4.9,,4.4,,
,,4.7,,,,
,4.7,,,,,
,,,,,5.75,
,5.1,4.6,,4.95,,
,,5.4,,,5.2,
,5.35,,,,,
,,5.0,,,5.1,
,6.5,6.0,,,5.1,
,,4.65,,5.2,4.8,
,5.21,,,,,
,4.8,,,,,
,5.2,5.6,,,5.9,
,4.8,6.9,,4.4,4.8999999999999995,
,,7.6,,,,
,4.7,5.35,,,5.25,
,4.9,4.65,,,4.6,
,,,,4.4,,
,6.05,,,4.8,6.35,
,5.5,4.8,,,5.5,
,4.85,6.35,,,,
,6.39,,,,,
,,,,,5.65,
,5.295,,,,6.1,
,5.89,,,5.48,6.22,
,4.8,5.5,,7.35,5.0,
,,,,5.33,,
,6.3,6.3,,4.4,,
,5.6,,,,,
,,,4.09,,,6.34
,4.675,,5.07,,5.04,
,,6.0,,,5.7,
,4.4,5.3,,5.0,,
,4.55,5.4,,5.1,4.9,
,,,,,6.3,
,4.5,,,,,
,,,,,,9.47
,4.4,7.2,,,,
,4.95,4.95,,,,
,,5.7,,,,
,,5.96,,,,
,5.2,5.1,,,,
,6.0,,,,,
,,5.35,,4.95,5.55,
,,7.96,,,,
,5.35,5.0,,,,
,4.9,,,,,
,,,,6.3,,
,,5.4,,,,
,4.7,,,,4.8,
,5.7,,,,,
,,,,5.4,,
,4.7,,,5.2,,
,5.2,,,,,
,,,,6.21,,
,5.54,,,,,
,4.4,,,,,
,,,,,4.96,
,,,,,,6.23
,4.85,,,,,
,,4.6,,6.6,,
,,5.4,,,,
,5.599999999999999,6.2,,,5.4,
,5.45,,,,4.85,
,,5.2,,5.4,,
,,,,,6.7,
,5.400000000000001,,,,,
,5.46,,,,,
,5.1850000000000005,,,,,
,,5.77,,,,
,5.5,,,,5.65,
,,4.85,,,,
,,4.8,,4.55,5.2,
,,,,,6.55,
,6.0,4.8,,5.7,5.3,
,,5.3,,,4.8,
,5.15,4.4,,4.7,5.35,
,,5.3,,,,
,5.05,4.7,,4.6,4.85,
,4.9,5.0,,,4.6,
,4.5,4.6,,,,
,4.89,,,,,
,,4.6,,,,
,,5.0,,5.1,,
,4.8,,,,,
,4.77,,,,,
,5.05,6.4,,,5.0,
,5.5,,,,5.4,
,,5.85,,,5.95,
,5.04,6.62,,,,
,5.01,,,,,
,,,,,5.5,
,4.9,,,,,
,4.81,4.88,,4.92,5.32,
,5.13,,,,,
,5.5,5.7,,,5.9,
,5.68,,,5.28,6.4,
,,,,4.7,,
4.3,,,,,,
,6.099999999999999,4.8,,4.7,6.3,
,,,5.64,,,
,,5.4,,,,
,,5.9,,,,
,5.48,,,,,
,4.7,,,5.3,,
,,,,4.6,,
,,5.3,,,,
,,,,4.85,,
,,,,4.85,,
,5.7,4.5,,4.5,6.5,
,4.6,5.6,,,,
,5.17,,,5.18,,
,4.6,,,,,
,,5.5,,,5.8,
,,4.9,,,4.6,
,,,,4.92,,
,,,,4.69,4.76,
,4.58,,,,,
,5.400000000000001,,,,5.8,
,4.7,5.1,,4.6,,
,,,5.75,,,
,5.3,,,,,
,,,,,,8.18
,5.599999999999999,,,,5.9,
,,,,4.45,6.05,
,,,4.84,,,
,5.1375,,,,,
,4.7,,,,,
,,,,4.91,,
,5.1,,,5.0,,
,5.1,,,,,
,4.7,6.3,,4.5,,
,4.9,4.45,,4.55,,
,5.400000000000001,,,,,
,7.46,,,,,
,,,,,4.92,
,5.2,4.5,,7.793333333333334,7.0,
,,,,,4.55,
,,4.55,,,5.15,
,4.81,,,,4.89,
,5.82,,,5.72,,
,5.29,,,,,
,4.58,,,,4.68,
,,,,6.5,,
,4.7,,,,,
,4.85,,,4.8,5.35,
,5.1,,,,,
,4.8,4.9,,4.6,6.4,
,4.5,6.4,,4.7,,
,5.7,5.4,,5.35,,
,,,,7.5,,
,5.35,4.9,,,,
,5.400000000000001,4.9,,4.4,7.0,
,4.9,5.8,,,4.85,
,,4.9,,,5.3,
,6.099999999999999,,,,5.0,
,5.1,,,,,
,,,5.52,,,
,,4.8,,,,
,,4.8,,,,
,5.35,,,4.95,5.8,
,4.4,,,,,
,,6.0,,4.6,5.1,
,,,,,4.7,
,7.16,,,,,
,,5.52,,,,
,4.6,,,,,
,,6.92,,,5.21,
,4.56,6.4,,,5.24,
,,,,5.37,,
,,,,5.7,,
,,,,,5.4,
,,,,,4.7,
,5.4,,,,,
,5.37,6.09,,7.05,5.49,
,,7.505,,4.75,,
,,4.9,,,6.2,
,,,,4.66,,
,5.51,,,,,
,5.22,,,,,
,,5.35,,,,
,5.900000000000001,4.9,,,,
,4.8,,,,,
,5.4,7.4,,,,
,5.45,,,5.5,5.6,
,,,,5.57,4.36,
,,4.85,,,4.7,
,,4.8,,,4.9,
,4.9,,,,,
,4.4,,,,,
,,,,5.39,,
,4.6,4.4,,,,
,6.82,,,,,
,5.41,,,,,
,5.4,,,,,
,,,5.75,,,
,5.72,,,,,
,,,,,4.5,
,6.1,,,,,
,4.75,,,,4.66,
,4.75,4.85,,,,
,4.6,5.05,,6.2,5.4,
,5.7,,,,,
,5.65,4.6,,,4.65,
,4.8,4.5,,,,
,,5.2,,,5.3,
,4.9,,,6.113333333333333,,
,4.9,4.85,,4.6,4.95,
,6.1,,,,,
,5.05,,,,,
,5.599999999999999,6.2,,5.1,,
,4.135,,,,,
,5.16,,,,,
,,,,5.54,,
,5.65,,,,6.6,
,,6.35,,4.8,4.6,
,5.2,,,5.7,,
,,,5.02,,,
,,,,,,8.82
,,5.62,,,5.39,
,5.15,5.3,,4.95,5.55,
,5.3,,,,5.95,
,,,,6.0,,
,6.4,,,,,
,4.7,,,,,
,4.77,,,,,
,5.400000000000001,,,,,
,,4.6,,,4.55,
,,,,5.8,,
,5.5,,,,,
,5.5,,,,,
,5.0,5.3,,,,
,,,,,4.9,
,,6.3,,,,
,,4.7,,,,
,5.52,,,,,
,,4.6,,,,
,5.5,,,5.4,,
,4.8,,,,,
,5.3,,,,5.6,
,6.9,,,,5.4,
,,5.1,,,,
,6.22,,,,,
,5.15,5.9,,,5.5,
,5.400000000000001,6.7,,5.4,7.1,
,5.65,,,,4.4,
,4.9,,,4.9,4.9,
,4.9,,,,,
,5.15,5.3,,4.95,,
,5.3,,,5.0,4.8,
,,5.6,,,,
,5.15,4.7,,4.4,5.5,
,4.7,,,,,
,,4.55,,,6.0,
,,4.8,,4.4,,
,5.4,,,,,
,5.52,,,,,
,5.5,5.1,,,,
,,,,5.2,,
,,4.95,,5.6,4.6,
,5.4,,,,7.1,
,5.19,,,,6.7,
,5.400000000000001,,,,4.5,
,4.5,,,,4.85,
,,,,6.05,,
,4.9,,,,,
,,4.8,,6.65,,
,5.599999999999999,6.1,,,6.0,
,4.55,5.7,,4.85,5.1,
,,6.67,,,,
,5.1,,,,,
,,,,,,5.37
,5.2,6.1,,,,
,4.05,,,,4.725,
,5.54,,,,,
,,4.4,,,,
,,4.19,,,,
,5.0,,,,5.2,
,,5.85,,,5.9,
,,4.5,,4.45,,
,4.8,4.9,,,,
,,,,,5.3,
,5.5,,,5.5,,
,4.43,5.22,,,4.62,
,4.9,,,,,
,5.0600000000000005,,,,,
,5.65,,,,6.5,
,5.400000000000001,,,5.5,,
,5.3,6.6,,4.9,6.1,
,4.8,4.9,,,4.4,
,,6.1,,,,
,,4.6,,4.45,5.25,
,6.0,4.85,,,,
,4.55,4.5,,4.95,4.9,
,4.85,5.05,,,5.6,
,4.85,4.8,,7.2,5.2,
,,,6.24,,,
,6.1,,,5.21,5.05,
,,,,,4.85,
,,5.4,,,,
,4.58,,,,5.96,
,,5.28,,,,
,4.9,,,,,
,,5.7,,,,
,5.5,,,,,
,5.0,,,,,
,,,,5.9,,
,,,,,5.5,
,,6.15,,,,
,5.3999999999999995,4.9,,,5.58,
,4.65,,,,,
,,,,5.96,,
,4.8,,,,,
,,5.81,,,,
,,5.25,,5.8,5.4,
,,,,5.3999999999999995,4.5,
,4.45,5.45,,,4.7,
,,,,5.1,,
,6.61,,,,,
,4.8,5.3,,5.766666666666667,,
,,5.4,,5.5,,
,5.0,,,,,
,,,,6.8,,
,,4.9,,,5.7,
,4.6,4.55,,,4.7,
,,,,4.22,,
,,5.5,,,5.45,
,7.6,5.95,,5.05,5.85,
,4.6,4.9,,4.4,,
,4.96,,,,4.76,
,4.5,,,,,
,5.400000000000001,7.08,,,,
,,6.25,,,5.9,
,4.41,,,4.25,,
,,,,7.4,,
,,,,5.9,4.65,
,,4.9,,7.4,,
,4.6,5.3,,,,
,,5.25,,,4.55,
,5.0,4.8,,,4.7,
,5.400000000000001,5.5,,,5.9,
,,,5.766666666666667,,,
,,4.9,,,,
,5.4,5.1,,5.9,,
,5.96,,,,5.39,
,5.5,,,5.5,7.5,
,,,,,6.5,
,5.7,,,,,
,4.9,,,,,
,4.32,,,,,
,5.6,4.5,,4.8,4.85,
,6.6,4.65,,,4.85,
,,5.82,,,,
,6.3,4.5,,5.1,5.2,
,,6.2,,,,
,5.599999999999999,5.6,,5.4,6.0,
,4.82,,,,,
,5.6,,,,,
,4.8,4.5,5.066666666666666,,,
,5.55,,,,,
,,5.55,,4.8,5.3,
,5.0,5.9,,,6.3,
,5.57,,,,,
,,,,4.4,,
,4.45,,,4.7,,
,,5.3,,5.4,,
,,,,,4.8,
,,,,5.4,,
,6.0,5.5,,5.05,6.05,
,,,,5.62,,
,5.59,,,,,
,5.400000000000001,,,,6.5,
,4.85,,,,,
,4.6,,,,,
,5.900000000000001,6.8,,5.0,,
,,5.4,,,,
,,6.89,,,,
,5.1,6.1,,4.7,,
,,4.9,,,4.4,
,7.1,,,7.05,6.58,
,,,,4.53,4.62,
,,5.0,,,5.95,
,,,,7.96,,
,4.9,,,,4.8,
,4.83,,,,,
,4.5,,,,,
,5.2,,,,7.9,
,7.66,,,,,
,4.66,,,,,
,,,,,5.0,
,4.85,5.5,,,4.9,
,5.2,,,,6.25,
,7.099999999999999,4.8,,5.7,,
,5.0,,,4.6,5.55,
,,5.4,,,,
,,,,,5.55,
,,,,4.35,,
,,4.55,,,,
,4.9,,,,6.3,
,,,5.19,,,
,,4.65,,,,
,4.6,5.7,,,,
,,6.05,,,4.7,
,9.1,,,,,
,,4.4,,5.5,,
,,4.5,,,,
,,5.4,,,,
,,,,4.4,,
,,4.4,,,5.1,
,5.5,,,,,
,4.6,5.05,,4.55,,
,4.95,,,,,
,,5.1,,,6.2,
,5.900000000000001,5.1,,5.1,,
,4.4,,,,,
,6.2,5.9,,,,
,4.9,,,,,
,6.52,,,,,
,5.4,,,,5.65,
,5.68,,,,,
,,,4.89,,,
,5.57,,,,,
,5.4,,,,,
,5.87,,,,4.85,
,5.1,4.8,,,,
,4.37,,,,4.75,
,6.22,,,,,
,5.3,6.2,,,4.9,
,5.7,6.7,,4.4,,
,,,,5.1,,
,4.62,,,,,
,,,,,4.72,
,5.0,,,,,
,4.85,,,5.1,,
,4.6,,,,,
,,4.85,,,4.9,
,4.85,4.85,,4.55,5.85,
,4.85,4.8,,,4.85,
,,,,,4.4,
,,,,5.89,,
,5.599999999999999,6.3,,4.9,,
,4.6,4.8,,,,
,,,,5.37,,
,4.717499999999999,,,,,
,5.59,,,,,
,,5.3,,,5.75,
,,,,6.4,4.4,
,4.3,4.54,,5.06,4.94,
,5.33,,,5.6,,
,,,,,,5.38
,5.46,,,,,
,,,,7.4,,
,,,,5.66,,
,,4.4,,,,
,4.75,,,,,
,4.4,6.0,,4.4,,
,4.8,,,,,
,5.8125,4.9,4.783333333333333,7.5,4.9,
,4.95,6.2,,4.8,5.0,
,5.725,,,,,
,4.6,,,,,
,4.52,,,4.4,4.4,
,4.8,,,,,
,,4.6,,,6.2,
,5.5,6.2,,6.2,,
,,6.2,,,,
,4.7,4.6,,,,
,5.8,,,,4.4,
,5.05,6.9,,,,
,5.0,5.0,,,,
,6.2,,,,5.85,
,5.5,,,,,
,6.05,,,,,
,4.85,,,,5.7,
,,,,,4.9,
,,,,5.4,,
,4.8,4.9,,,,
,4.95,5.5,,,,
,5.1,4.7,,4.9,,
,5.4,,,,5.55,
,5.0,4.9,,,,
,7.0,,,,,
,,4.4,,4.8,,
,5.1,,,4.5,,
,4.9,6.5,,,4.7,
,,4.85,,,,
,5.35,,,,5.85,
,5.75,,,,,
,5.25,,,,,
,,4.7,,,4.4,
,5.85,5.9,,,5.35,
,5.4,,,4.85,5.15,
,5.3,6.4,,5.4,5.4,
,4.67,,,,4.89,
,4.9,4.9,,,,
,,,,4.6,,
,4.6,,,,,
,,,,4.96,5.96,
,5.35,6.3,,,,
,6.645,,,,,
,4.03,4.16,,4.01,5.19,
,,5.0,,,,
,4.85,5.35,,6.05,5.4,
,4.746666666666667,,,,6.03,
,5.14,,,,,
,4.19,,,4.08,5.06,
,4.8,4.5,,4.4,4.6,
,,5.1,,5.6,,
,,7.37,,,,
,4.45,,,,,
,,,5.29,,,
,4.6,4.85,,,4.8,
,5.15,5.3,,,5.3,
,5.2,4.65,,,6.45,
,5.0,4.8,,5.7,6.0,
,,5.3,,,5.2,
,6.9,,,5.95,,
,,,,4.6,,
,,,,,5.0,
,,,7.154999999999999,,,
,4.6,4.95,,,,
,4.49,,,,,
,6.0,,,,,
,4.8,,,,4.95,
,5.26,,,,,
,4.55,5.65,,,4.85,
,5.5,7.0,,4.9,6.3,
,4.9,,,4.9,,
,5.35,,,5.4,6.75,
,,5.1,,,4.9,
,4.9,6.25,,,5.05,
,,7.0,,,,
,,,,5.5,,
,4.9,4.7,,,,
,4.12,,,,,
,4.55,,,,,
,,4.65,,,,
,6.05,,,,,
,4.75,,,,,
,,5.7,,,5.15,
,4.6,,,,,
,5.55,,,,,
,5.58,,,,,
,4.85,4.7,,,4.75,
,,,,5.7,,
,,,,,5.4,
,,,,5.28,,
,5.4,,,5.4,,
,5.3,,,,,
,4.54,,,,,
,,,,,7.9,
,6.27,,,,6.0,
,4.82,,,,,
,,,,,4.4,
,6.2,4.95,,,,
,,5.55,,,,
,4.85,,,,5.9,
,4.9,4.8,,4.6,,
,5.4,,,,8.1,
,5.900000000000001,,,,5.1,
,5.5,7.7,,,,
,,,5.853333333333333,,,
,5.400000000000001,5.9,,7.6,,
,5.45,6.2,,,,
,,,,,,9.29
,4.89,,,,,
,4.58,,,,,
,,,,,4.4,
,4.9,4.9,,,4.9,
,5.54,,,,,
,5.55,,,,,
,,,,4.95,5.4,
,6.73,,,,,
,5.1,5.1,,5.166666666666667,4.8,
,5.85,,,,,
,,,,5.57,,
,5.3,5.5,,5.15,6.9,
,5.1,,,,,
,,4.55,,4.6,4.85,
,5.400000000000001,,,,5.8,
,5.400000000000001,5.5,,,,
,5.2,,,4.65,4.85,
,8.4,,,,,
,5.16,,,,4.55,
,,,,,4.65,
,4.37,,,,4.33,
,4.85,4.95,,,5.5,
,,,4.75,,,
,5.14,,,,,
,,4.8,,4.9,5.15,
,4.95,,,,4.85,
,5.0,,,,,
,4.36,,,,,
,,,,5.05,,
,4.48,,,4.3,4.4,
,5.5,5.8,,,,
,4.8,4.9,,4.5,4.6,
,4.4,,,,,
,5.0,5.6,,,5.05,
,4.26,,,4.07,,
,5.0,6.2,,4.9,5.9,
,4.4,5.9,,,5.6,
,5.22,6.67,,5.89,,
,,6.4,,4.8,5.45,
,5.43,,,,6.7,
,4.85,5.8,,,5.65,
,,5.95,,,4.85,
,,8.2,,5.3,4.8,
,6.3,6.1,,4.6,6.1,
,,,,6.11,,
,5.8,5.4,,5.4,6.5,
,5.0,,,,,
,4.9,,,,,
,,,,4.89,5.7,
,,7.04,,,,
,,,,,6.52,
,,5.5,,,5.65,
,,5.2,,,5.65,
,4.5,5.3,,4.7,4.8999999999999995,
,5.8,4.4,,,,
,5.5,,,,,
,4.85,4.38,,5.3,4.54,
,5.9,,,,,
,,7.55,,4.8,,
,,6.85,,,,
,,,,,5.75,
,,4.08,,,,
,4.75,,,,4.4,
,4.14,,,,,
,4.92,,,,,
,4.8,4.5,,4.4,,
,5.0,,,,4.7,
,,,,5.47,,
,6.0,,,5.9,5.4,
,5.400000000000001,4.8,,4.9,6.7,
,,,,,5.1,
,5.4,5.6,,,5.4,
,,,,,4.82,
,,5.0,,,4.8,
,5.8,4.5,,5.0,,
,,,,4.82,,
,,,,5.05,,
,5.35,5.35,,5.95,4.95,
,5.05,,,4.48,,
,,,,5.32,,
,6.0,5.8,,5.1,,
,,5.0,,,4.949999999999999,
,4.66,,,4.88,,
,4.45,,,,,
,,5.6,,,,
,,,,,5.26,
,4.8,4.8,,,4.7,
,5.55,,,,5.65,
,6.85,5.0,,6.4,4.86,
,6.77,,,5.66,,
,,,,,4.48,
,,,,,6.85,
,4.9,4.7,,5.0,5.1,
,5.2,,,,,
,5.400000000000001,6.9,,6.1,5.5,
,4.8,,,,,
,,,,,5.34,
,,5.4,,,6.25,
,5.0,5.0,,4.8,,
,5.6,4.95,,4.8,5.45,
,,,,,4.65,
,4.6,4.65,,,6.2,
,5.16,,,,5.44,
,5.599999999999999,,,,5.7,
,5.08,,,,,
,,,,5.2,6.5,
,5.15,4.85,,,4.85,
,5.1,5.6,,6.7,,
,,,,,7.3,
,,,4.851999999999999,,5.4,
,,,4.55,,,
,,5.5,,4.95,,
,,6.4,,,,
,6.27,,,,,
,7.900000000000001,5.5,,,,
,5.599999999999999,4.9,,4.466666666666667,,
,,,,,5.14,
,5.400000000000001,,,5.5,,
,4.6,4.7,,4.9,,
,6.68,,,,,
,,6.97,,,,
,,,,,7.48,
,5.8,5.2,,,5.0,
,,,,4.18,,
,5.0,4.9,,6.0,8.3,
,5.599999999999999,5.3,,4.9,6.0,
,5.4,,,5.4,6.1,
,,4.8,,,4.9,
,,,,,5.15,
,4.8,4.7,,4.85,5.2,
,5.55,,,,,
,4.85,5.2,,4.65,4.8,
,4.85,,,,,
,,,,4.71,5.14,
,,5.85,,,5.1,
,4.58,,,,,
,5.0,,,,,
,,,,5.62,,
,,,,5.37,,
,6.36,,,,,
,4.0,4.0,,4.0,4.0,
,,5.11,,,4.77,
,,,8.455,,,
,4.7,5.55,,,5.1,
,4.4,4.8,,,5.0,
,,4.89,,5.06,4.3,
,4.6,,,4.65,,
,4.9,6.2,,4.7,,
,5.95,,,,4.9,
,,5.5,,6.7,,
,,,,5.4,,
,6.099999999999999,4.7,,7.4,5.1,
,4.875,,,,,
,4.6,4.75,,,4.6,
,,5.95,,,,
,,6.0,,5.45,5.5,
,4.9,5.3,,,4.9,
,,,,,4.77,
,5.1,4.95,,4.55,,
,,7.2,,,,
,6.05,,5.64,,6.52,
,,,,5.2,,
,5.3,5.6,,,5.45,
,4.9,4.75,,,5.7,
,,4.85,,,,
,,,,,4.55,
,4.8,4.8,,4.7,,
,5.35,,,,,
,,,,,5.05,
,,,,,4.8,
,5.0,4.85,,4.85,,
,,,,5.57,,
,5.4,,,,,
,4.6,5.5,,,,
,,,,5.0,4.75,
,,6.54,,,,
,,4.75,,,,
,5.145,5.43,,6.22,5.17,
,5.72,,,,,
,4.8,,,,4.85,
,4.5,,,,,
,5.12,,,,,
,5.55,6.85,,,6.35,
,,,,,5.17,
,,,,5.46,,
,4.6,4.9,,,4.9,
,6.18,,,,,
,,,,5.85,,
,4.8,,,,,
,8.2,,,,,
,5.4,,,,,
,4.5,,,,,
,,5.5,,5.6,5.5,
,5.04,,,,,
,5.0,5.8,,4.6,4.8,
,5.08,,,,,
,5.400000000000001,6.0,,,5.3,
,4.8,5.8,,5.15,4.95,
,6.22,,,,,
,4.8500000000000005,5.050000000000001,,4.5,4.6,
,,,,7.7,,
,,,,,4.6,
,,6.6,,,,
,,4.6,,,,
,4.4,,,,7.55,
,5.2,,,,5.6,
,,,,5.23,,
,4.9,,,,5.3,
,5.0,5.0,,5.52,5.0,
,5.0,,,,,
,5.75,,,,,
,7.109999999999999,,,4.77,,
,,5.0,,4.8,,
,5.0,5.9,,4.55,4.7,
,4.98,4.82,,5.5200000000000005,4.6,
,5.9,,,,,
,5.22,,,,,
,,,,4.92,,
,5.68,,,,,
,,,5.71,,,
,,,4.92,,,
,,,,6.38,,
,,,,,4.96,
,,5.45,,5.35,5.4,
,,,,,5.5,
,4.5,,,,,
,5.1,,,,,
,4.85,6.15,,8.25,4.95,
,,5.1,,5.6,,
,,5.55,,,5.4,
,5.4,5.15,,,5.5,
,4.6,5.55,,,,
,,,,,4.4,
,4.35,,,,,
,,,,,5.4,
,,5.0,,,,
,,4.6,,,4.75,
,,5.19,,,,
,4.85,5.95,,,,
,,4.7,,,4.6,
,4.34,,,,,
,,4.95,,,5.2,
,4.7,,,4.7,,
,5.0,4.9,,5.1,4.7,
,,5.2,,,,
,,5.45,,,4.4,
,5.599999999999999,5.6,,4.4,5.9,
,5.48,,,,,
,4.6,5.55,,,4.75,
,5.1,6.1,,5.0,,
,,,,,5.6,
,5.400000000000001,6.2,,4.6,,
,,4.85,,,5.28,
,5.35,4.85,,,5.25,
,5.61,,,,,
,7.04,,,,,
,,5.15,,,6.2,
,4.96,4.6,,4.85,5.42,
,5.05,4.7,,,,
,4.55,5.55,,4.75,,
,5.900000000000001,6.4,,5.0,,
,,,4.98,,,
,6.3,5.4,,5.1,6.0,
,,,,,5.45,
,,,4.85,,,
,,,,4.85,5.8,
,,,,7.05,,
,5.75,,,,,
,,,,5.3,,
,,,6.0,,,
,,5.0,,5.2,,
,4.7,4.6,,,,
,,5.9,,,5.0,
,,,,,4.7,
,5.400000000000001,,,,,
,,,,6.16,,
,4.02,,,,,
,4.65,5.0,,5.0,5.0,
,,,,,4.8,
,,,,6.65,5.7,
,,,,,5.7,
,4.8,,,,,
,,,4.775,5.26,,
,5.65,5.8,,,5.2,
,,4.95,,4.85,4.55,
,,5.9,,,,
,4.95,5.6,,,5.45,
,,,,,7.0,
,,4.8,,,4.55,
,4.6,,,,,
,4.5,5.6,,5.8,4.9,
,,,,5.08,,
,,,,,7.8,
,,4.8,,,6.15,
,5.6,4.9,,,5.35,
,5.0,4.6,,4.8,,
,,4.9,,,,
,,,,,4.8,
,,,,5.7,,
,5.400000000000001,,,,,
,,,,,5.05,
,,,,6.92,,
,5.900000000000001,,,,4.9,
,5.400000000000001,5.8,,4.8,6.5,
,,5.9,,4.8,,
,5.1,5.35,,4.9,5.35,
,,,,,4.55,
,5.3,,,,,
,4.9,4.8,,,5.5,
,5.16,,,,,
,4.85,4.9,,5.15,5.1,
,6.05,6.1,,5.0,5.35,
,6.05,,,,,
,4.52,,,4.78,,
,4.7,,,,,
,4.9,,,4.6,4.5,
,,5.9,,,6.1,
,,5.3,,5.2,,
,,7.7,,,,
,5.4,4.65,,4.6,5.45,
,5.1,,,,5.3,
,5.3,,,,,
,4.9,6.1,,5.0,,
,5.6850000000000005,,,,,
,4.89,,,5.7,5.82,
,5.2,5.35,,5.35,5.05,
,,,,,5.12,
,4.8500000000000005,4.5,,5.85,,
,4.9,5.0,,,5.25,
,5.3,,,,,
,5.8,,,4.5,5.4,
,6.095,,,,,
,4.8,5.9,,,4.5,
,4.24,4.6,,5.82,4.35,
,5.599999999999999,4.8,,,5.3,
,5.066666666666667,5.55,,4.9,4.566666666666666,
,7.0,,,,,
,,,7.446363636363636,,,
,5.0,,,,,
,,4.6,,5.7,4.95,
,5.2,4.9,,,7.1,
,,,,5.6,,
,4.75,,,5.1,,
,4.8,,,,,
,5.3,4.6,,,5.3,
,,,,5.3,,
,5.95,,,4.5,5.35,
,4.4,,,,,
,,,,,4.57,
,,,,5.05,,
,,6.9,,,6.4,
,,5.0,,4.4,,
,,5.82,,4.96,,
,4.85,4.8,,6.25,5.2,
,4.7,4.95,,,,
,5.3,4.9,,,,
,4.77,,,5.56,,
,6.1000000000000005,4.8,,5.166666666666667,4.8999999999999995,
,6.1,,,,4.85,
,,6.95,,,,
,,5.9,,,5.3,
,,,,5.57,,
,4.6,5.85,,6.2,,
,5.1,4.5,,5.9,6.8,
,4.45,4.5,,4.55,4.75,
,,,,,5.6,
,4.85,5.4,,,4.65,
,6.29,,,,,
,,5.55,,,,
,,,,4.4,,
,,5.1,,,,
,5.4,,,,,
,5.5,,,,,
,,6.2,,,,
,4.65,5.4,,,4.8,
,,4.4,,5.0,,
,5.5,5.2,,,,
,4.693333333333333,,,4.82,,
,,,,4.82,,
,5.55,,,,,
,4.6875,5.8,,6.050000000000001,,
,4.19,,,,,
,,,,6.22,,
,5.3,,,,,
,,5.2,,,,
,6.45,5.85,,,7.05,
,5.400000000000001,4.9,,6.0,7.1,
,,,5.84,,,
,,,6.64,,,
,,,,5.3,,
,5.088,,,6.08,,
,6.0600000000000005,,,,6.7,
,5.16,,,,,
,5.0,4.9,,,5.6,
,5.7,5.8,,,4.4,
,5.7,4.7,,4.8,5.0,
,6.07,,,,,
,,4.9,,5.6,4.9,
,4.55,5.65,,,,
,4.7,,,,,
,5.05,,,,,
,4.9,,,,,
,5.05,4.9,,,4.8,
,4.41,4.6,,,,
,6.05,,,4.55,4.9,
,4.52,,,,,
,5.55,,,,,
,5.01,,,,,
,,5.5,,4.7,,
,4.9,,,,,
,4.75,4.65,,5.05,4.95,
,6.1,,,,5.68,
,4.8,,,,,
,4.6,,,,4.75,
,4.75,5.45,,,5.35,
,,,,5.4,5.5,
,,5.75,,5.8,4.75,
,5.01,,,,,
,,,,,5.0,
,6.2,4.7,,,5.0,
,4.6,,5.15,5.1,,
,,,,4.89,,
,4.82,,,4.41,,
,5.5,,,,,
,4.9,,,,,
,4.85,,,,4.9,
,4.6,,,5.0,,
,5.3,5.95,,,,
,,4.8,,4.9,,
,5.9,,,,,
,5.6,,,5.691666666666666,,
,5.6,,,,,
,5.1,7.3,,4.8,5.55,
,4.85,5.9,,,,
,,4.6,,6.0,4.4,
,,,,5.2,,
,4.8,,,,4.6,
,4.85,5.4,,,5.0,
,5.3,5.3,,,,
,5.8,5.9,,5.05,6.05,
